name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
GAZ2,6A+,40°,2017,Garry Seven,"F6,","F9,D10,E13,E16,","E18,",Feet follow hands,FALSE
TOUCHÉ,6A+,25°,2017,Drama,"I5,G6,","E8,E11,E14,G16,","F18,",Feet follow hands + screw ons,FALSE
GOOD START,6A+,40°,2017,Taylor,"B3,F5,","D9,G10,C13,G14,C16,","F18,",Feet follow hands,FALSE
4,6A+,40°,2017,Jimmy1,"J2,H5,","I8,J6,K9,G11,J13,E13,H15,E16,","F18,",Feet follow hands + screw ons,FALSE
SIMPLE AS PIE,6A+,40°,2017,tdjones,"H3,D4,","G7,J4,H11,J13,G16,","H18,",Feet follow hands,FALSE
3,6A+,40°,2017,Jimmy1,"H5,K4,","I7,F8,H10,D10,E13,A14,C16,","A18,",Feet follow hands,FALSE
JIMMY2,6A+,40°,2017,Jimmy1,"H5,E1,","I7,J11,E13,E16,","F18,",Feet follow hands,FALSE
RED LINE,6A+,25°,2017,Brendan Heo,"H5,F6,","J11,F8,E13,C16,","B18,",Feet follow hands,FALSE
POWER IS NOT NEEDED,6A+,40°,2017,twan_climbing,"F5,H5,","H10,E13,E16,D9,I7,J2,B14,","D18,",Feet follow hands,FALSE
LABTASTIC,6A+,40°,2017,lee evans,"K4,F5,","I7,F8,J11,E13,J16,","H18,",Feet follow hands,FALSE
INITIATION,6A+,40°,2017,Pierre2018,"H5,","E13,G14,E16,F7,D6,C16,C10,H11,J11,","F18,",Feet follow hands,FALSE
ELOHMUB,6A+,40°,2017,RustyFerret26,"F5,C4,","D9,G13,E16,H10,D12,","F18,",Feet follow hands,FALSE
HERRING,6A+,25°,2017,Shmerik,"H5,","D10,G11,E13,E16,","B18,",Feet follow hands,FALSE
MATCH,6A+,40°,2017,Sledgehammer,"J3,H5,","I7,J11,G13,E16,","F18,",Screw ons only,FALSE
KID HONO,6A+,40°,2017,hono,"H5,F6,","H8,F8,H10,F12,G13,E13,C14,C16,I1,E1,E10,","B18,",Feet follow hands,FALSE
UNRAVEL,6A+,40°,2017,Sledgehammer,"F5,","I7,H10,F13,E14,E17,","D18,",Feet follow hands,FALSE
MATTEO,6A+,40°,2017,Nomnomnom2,"F5,","I8,H10,E13,D8,C16,I1,I3,B10,","B18,",Feet follow hands,FALSE
LAUREN SENT A ROUT,6A+,40°,2017,Isaac Saul,"E4,I4,","G7,D9,F12,E13,C16,","F18,",Feet follow hands,FALSE
PUMP THEN JUMP!,6A+,40°,2017,Aina,"B4,A5,","F6,F5,I7,H8,J11,E13,C16,","B18,",Feet follow hands,FALSE
JOHN’S WARMUPETH,6A+,40°,2017,John Stehr,"E3,H5,","I7,J11,E13,C16,A9,F11,K6,","B18,",Feet follow hands + screw ons,FALSE
FIRST JINYOUNG\u0027S PROBLEM,6A+,40°,2017,KIM LINA,"F5,J4,","I8,H10,J11,F12,G13,E16,","F18,",Feet follow hands,FALSE
SAKURA,6A+,40°,2017,Penguin,"F5,","F7,J9,J11,K13,H15,","J18,",Feet follow hands,FALSE
TAJIMA,6A+,40°,2017,Penguin,"G6,K4,","J9,G11,G13,B13,D15,A17,","B18,",Feet follow hands,FALSE
LOVE A GOOD NIP,6A+,40°,2017,Jbjbjbjbjb,"F4,I4,","G6,H10,F12,E14,H14,","H18,",Feet follow hands,FALSE
MINNY MOUSE,6A+,40°,2017,Michael,"H5,F5,","I7,F8,H10,D10,E13,E16,G13,G1,D1,","F18,D18,",Feet follow hands,FALSE
EASY HOLDS,6A+,40°,2017,JimsyLimbsy,"H5,F6,","H10,J7,G13,D15,","F18,",Feet follow hands,FALSE
CHACKEN,6A+,40°,2017,Mandi Carrera,"C4,F5,","F8,H10,G13,C13,D15,","F18,",Feet follow hands,FALSE
VELVET MATERIALIZATION,6A+,40°,2017,Riley Long,"E4,A4,","B8,F12,G10,D17,G13,D6,E7,","H18,",Feet follow hands,FALSE
GAUTE,6A+,40°,2017,gaute92,"E3,B3,","E7,E10,B11,E13,E16,","B18,",Feet follow hands,FALSE
EARLY MORNING STRETCHES,6A+,40°,2017,Jordan Lo,"D5,F5,","H10,E13,","H18,",Feet follow hands + screw ons,FALSE
M2,6A+,25°,2017,ClimbEpic,"D4,F2,","I8,E13,","F18,",Feet follow hands,FALSE
MOON MOUNTS,6A+,40°,2017,MomentumClimbingLehi,"G2,F6,","G9,F12,G16,","F18,",Feet follow hands,FALSE
A TOI TOF !,6A+,40°,2017,Phenix,"A5,D6,","B8,C10,B13,F12,G14,G16,G10,","H18,",Feet follow hands + screw ons,FALSE
THE G WARMUP,6A+,40°,2017,twitch,"H5,F5,","I8,F8,E13,C16,","B18,",Feet follow hands,FALSE
SHB,6A+,40°,2017,jeremy,"J4,H6,","H11,B13,G10,I16,B17,","K18,",Feet follow hands,FALSE
CLICKBAIT,6A+,40°,2017,MomentumClimbingLehi,"D5,H5,","I8,F12,E13,D10,D2,H16,","H18,",Screw ons only,FALSE
EASY FEELING,6A+,40°,2017,Bhetrick,"D4,H5,","F8,H10,E13,H16,","D18,",Feet follow hands + screw ons,FALSE
CP1,6A+,40°,2017,Caryn  Peters,"A5,D5,","G8,D11,G13,D17,B2,","F18,",Feet follow hands,FALSE
FLIPPER FLAPPER,6A+,40°,2017,Kaj,"D4,H5,","I8,H10,E13,G13,E16,E7,","B18,",Feet follow hands,FALSE
TERO TERO,6A+,40°,2017,ikeda koki,"B3,D4,","C7,F9,C10,I7,F12,C14,D15,C16,","F18,",Feet follow hands + screw ons,FALSE
PFFT,6A+,40°,2017,MomentumClimbingLehi,"I1,H5,","E7,D10,G11,J14,F15,","H18,",Feet follow hands,FALSE
JUST TRYING TO TOP,6A+,40°,2017,JimsyLimbsy,"F5,","F8,C16,H10,C14,E13,","F18,D18,",Feet follow hands,FALSE
SMTHNG TALL 4 WILL,6A+,40°,2017,Pok,"B3,H5,","K1,C7,I7,D9,J2,I10,D11,G13,E14,E16,","H18,",Feet follow hands,FALSE
JUST A PINCH,6A+,40°,2017,Pok,"F5,C4,","B8,G10,D12,D15,G13,","F18,",Feet follow hands + screw ons,FALSE
BUMP CITY,6A+,40°,2017,Pok,"H1,D5,","H5,I8,D12,G13,D15,H10,","F18,",Feet follow hands + screw ons,FALSE
KAFFEEKLATSCH,6A+,40°,2017,Manuel Brüller,"G4,J6,","F7,G10,D12,G13,D15,","D18,",Feet follow hands + screw ons,FALSE
DZIKI WARM-UP,6A+,40°,2017,Arkadiusz Dziki-Sereda,"A5,B4,","D1,E8,C10,F12,G14,E16,H8,","E18,D18,",Feet follow hands,FALSE
